,plateifus,gas best angle,gas error angle,stellar best angle,stellar error angle,delta PA
108,8931-3704,85.0,0.5,54.5,43.5,30.5
109,9863-6103,121.5,0.5,30.0,4.75,91.5
110,8950-3703,40.0,0.5,19.0,6.0,21.0
111,8953-3702,126.0,0.5,114.5,8.25,11.5
112,8479-3703,140.0,0.5,119.0,9.0,21.0
113,8480-3701,72.0,0.5,112.5,7.75,-40.5
114,8935-3701,83.5,0.5,86.0,11.25,-2.5
115,9876-1901,153.0,0.5,56.5,89.75,96.5
116,8934-1901,54.0,0.5,81.0,7.25,-27.0
117,9863-1902,101.0,0.5,38.0,37.0,63.0
118,8935-1901,12.5,0.5,169.0,29.750000000000004,-156.5
119,8934-1902,101.5,0.5,2.0,7.5,99.5
120,8935-1902,83.0,0.5,173.5,7.500000000000001,-90.5
121,8983-1901,107.5,0.5,129.0,89.75,-21.5
122,8983-3702,81.5,0.5,148.0,10.75,-66.5
123,8952-1902,142.5,0.5,162.0,8.25,-19.5
124,8724-3703,112.5,0.5,50.0,5.5,62.5
125,8721-1902,20.0,0.5,65.5,14.0,-45.5
126,8727-1902,118.5,0.5,40.0,15.0,78.5
127,8727-6101,87.5,0.5,166.0,0.5,-78.5
128,9512-6104,42.0,0.5,112.0,9.0,-70.0
129,7957-3702,167.5,0.5,154.5,13.75,13.0
130,8719-3701,125.0,0.5,157.5,20.0,-32.5
131,8719-1901,51.5,1.0,121.5,7.25,-70.0
132,8252-1901,139.0,0.5,67.0,26.0,72.0
133,8931-1902,69.5,0.5,137.5,9.0,-68.0
134,8329-3704,68.5,0.5,112.0,0.5,-43.5
135,7957-1901,61.5,0.5,55.0,8.75,6.5
136,9486-3704,130.0,0.5,27.0,4.0,103.0
137,8553-6101,34.0,0.5,107.5,11.25,-73.5
138,8553-3701,161.0,0.5,5.5,89.75,155.5
139,9193-12703,101.0,0.5,6.0,5.499999999999998,95.0
140,8618-3703,147.5,1.0,174.5,0.75,-27.0
141,8977-1901,6.0,0.5,42.5,27.25,-36.5
142,9183-12701,19.0,0.5,101.0,5.0,-82.0
143,9181-1902,178.5,1.75,157.0,6.25,21.5
144,9183-6102,148.5,0.5,18.0,26.500000000000007,130.5
145,9486-1901,121.0,2.5,97.0,21.0,24.0
146,9486-12705,174.0,0.5,19.0,8.0,155.0
147,8486-6104,48.5,0.5,169.5,6.75,-121.0
148,8486-9101,24.0,0.5,138.0,6.0,-114.0
149,8486-1901,95.0,4.0,60.0,7.25,35.0
150,8312-6104,89.5,0.5,78.0,2.5,11.5
