plateifus,gas best angle,gas error angle,stellar best angle,stellar error angle,delta PA,category,Galaxy Type,,,,,
8446-3702,52,0.5,30.5,1,21.5,co-rotate,LINER,,,,,
8444-3703,122,0.5,91,9.75,31,offset,x,,,,,
8140-1901,23.5,0.5,95,4,-71.5,offset,LINER,,,,,
8140-3703,100.5,0.5,52,13,48.5,offset,x,,,,,
8719-3704,50,0.5,130,7.5,-80,offset,LINER,,,,,
8931-6101,42.5,0.5,23,2.75,19.5,co-rotate,x,,,,,
9863-3702,14,0.5,2.5,3.25,11.5,co-rotate,x,,,,,
8931-1901,112,0.5,32,7.75,80,offset,x,,,,,
8934-3704,59.5,0.5,64.5,10.75,-5,co-rotate,LINER,,,,,
8931-3702,162.5,0.5,7,6.25,155.5,counter-rotate,x,,,,,
8931-3701,47,0.5,56,15.5,-9,co-rotate,x,,,,,
8950-3702,58,0.5,27,5.75,31,offset,LINER,,,,,
8934-3702,37,0.5,99,66,-62,offset,x,,,,,
8935-6102,93,0.5,147.5,5.75,-54.5,offset,x,,,,,
9863-6102,123.5,0.5,54,17.5,69.5,offset,x,,,,,
8933-3701,161.5,0.5,113.5,9.75,48,offset,x,,,,,
8933-6101,124,0.5,124.5,12.5,-0.5,co-rotate,x,,,,,
8933-1901,153.5,0.5,143,5.75,10.5,co-rotate,x,,,,,
9876-1902,4.5,0.5,139,12,-134.5,offset,LINER,,,,,
8931-3704,85,0.5,54.5,43.5,30.5,offset,x,,,,,
9863-6103,121.5,0.5,30,4.75,91.5,offset,x,,,,,
8950-3703,40,0.5,19,6,21,co-rotate,x,,,,,
8953-3702,126,0.5,114.5,8.25,11.5,co-rotate,x,,,,,
8479-3703,140,0.5,119,9,21,co-rotate,x,,,,,
8480-3701,72,0.5,112.5,7.75,-40.5,offset,x,,,,,
8935-3701,83.5,0.5,86,11.25,-2.5,co-rotate,LINER,,,,,
9876-1901,153,0.5,56.5,89.75,96.5,offset,x,,,,,
8934-1901,54,0.5,81,7.25,-27,co-rotate,x,,,,,
9863-1902,101,0.5,38,37,63,offset,LINER,,,,,
8935-1901,12.5,0.5,169,29.75,-156.5,counter-rotate,x,,,,,
8934-1902,101.5,0.5,2,7.5,99.5,offset,x,,,,,
8935-1902,83,0.5,173.5,7.5,-90.5,offset,LINER,,,,,
8983-1901,107.5,0.5,129,89.75,-21.5,co-rotate,LINER,,,,,
8983-3702,81.5,0.5,148,10.75,-66.5,offset,x,,,,,
8952-1902,142.5,0.5,162,8.25,-19.5,co-rotate,x,,,,,
8724-3703,112.5,0.5,50,5.5,62.5,offset,x,,,,,
8721-1902,20,0.5,65.5,14,-45.5,offset,x,,,,,
8727-1902,118.5,0.5,40,15,78.5,offset,x,,,,,
8727-6101,87.5,0.5,166,0.5,-78.5,offset,Composite,,,,,
9512-6104,42,0.5,112,9,-70,offset,x,,,,,
7957-3702,167.5,0.5,154.5,13.75,13,co-rotate,x,,,,,
8719-3701,125,0.5,157.5,20,-32.5,offset,x,,,,,
8719-1901,51.5,1,121.5,7.25,-70,offset,LINER,,,,,
8252-1901,139,0.5,67,26,72,offset,LINER,,,,,
8931-1902,69.5,0.5,137.5,9,-68,offset,x,,,,,
8329-3704,68.5,0.5,112,0.5,-43.5,offset,x,,,,,
7957-1901,61.5,0.5,55,8.75,6.5,co-rotate,x,,,,,
9486-3704,130,0.5,27,4,103,offset,Seyfert,,,,,
8553-6101,34,0.5,107.5,11.25,-73.5,offset,x,,,,,
8553-3701,161,0.5,5.5,89.75,155.5,counter-rotate,x,,,,,
9193-12703,101,0.5,6,5.5,95,offset,Composite,,,,,
8618-3703,147.5,1,174.5,0.75,-27,co-rotate,Star-forming,,,,,
8977-1901,6,0.5,42.5,27.25,-36.5,offset,Star-forming,,,,,
9183-12701,19,0.5,101,5,-82,offset,x,,,,,
9181-1902,178.5,1.75,157,6.25,21.5,co-rotate,Composite,,,,,
9183-6102,148.5,0.5,18,26.5,130.5,offset,Seyfert,,,,,
9486-1901,121,2.5,97,21,24,co-rotate,Star-forming,,,,,
9486-12705,174,0.5,19,8,155,counter-rotate,LINER,,,,,
8486-6104,48.5,0.5,169.5,6.75,-121,offset,Composite,,,,,
8486-9101,24,0.5,138,6,-114,offset,Star-forming,,,,,
8486-1901,95,4,60,7.25,35,offset,Star-forming,,,,,
8312-6104,89.5,0.5,78,2.5,11.5,co-rotate,Star-forming,,,,,
9869-12704,90.5,0.5,99.5,1.5,-9,co-rotate,x,,,,,
8312-6103,57,0.5,65,10.75,-8,co-rotate,Star-forming,,,,,
9869-6102,113,0.5,118.5,25.75,-5.5,co-rotate,Star-forming,,,,,
8601-6102,144,0.5,150.5,11,-6.5,co-rotate,Seyfert,,,,,
9869-12701,84,0.5,100.5,3,-16.5,co-rotate,Star-forming,,,,,
8588-6103,98,0.5,86.5,5,11.5,co-rotate,Star-forming,,,,,
8606-3704,138.5,0.5,103.5,7.5,35,offset,Star-forming,,,,,
8606-12702,4,0.5,92,89.75,-88,offset,x,,,,,
8249-12702,19,0.5,139.5,0.5,-120.5,offset,Star-forming,,,,,
8149-1901,127.5,0.5,60,32.25,67.5,offset,Seyfert,,,,,
8149-3703,115,0.5,64.5,5.75,50.5,offset,Star-forming,,,,,
8453-6101,151,0.5,145.5,4,5.5,co-rotate,Star-forming,,,,,
8453-6104,36,0.5,163.5,0.75,-127.5,offset,Star-forming,,,,,
8453-1901,63.5,0.5,139,5.5,-75.5,offset,Composite,,,,,
8999-12705,78.5,0.5,65,4,13.5,co-rotate,LINER,,,,,
8999-6101,112,0.5,117.5,8.5,-5.5,co-rotate,Star-forming,,,,,
8992-1902,69,6.25,72,16.5,-3,co-rotate,Star-forming,,,,,
8997-3704,91,8.25,137,5.5,-46,offset,Star-forming,,,,,
8997-3703,15,0.5,52,6.25,-37,offset,LINER,,,,,
8997-12703,71,0.5,24.5,1,46.5,offset,Composite,,,,,
8992-3703,39,4,32,5.25,7,co-rotate,Star-forming,,,,,
9184-1901,145,79.5,80.5,89.75,64.5,offset,Star-forming,,,,,
9184-3703,154.5,0.5,5.5,13.75,149,offset,Star-forming,,,,,
8439-1902,66,3,125.5,39.25,-59.5,offset,LINER,,,,,
8941-9101,38.5,0.5,63.5,3.5,-25,co-rotate,LINER,,,,,
8461-1902,6.5,3.5,72,7.5,-65.5,offset,LINER,,,,,
8461-9102,13.5,0.5,119.5,26,-106,offset,Star-forming,,,,,
8461-6102,116.5,0.5,88,3.25,28.5,co-rotate,Star-forming,,,,,
8456-3704,100.5,0.5,8.5,5.5,92,offset,LINER,,,,,
8453-3703,177,0.5,158.5,18.5,18.5,co-rotate,LINER,,,,,
